student_id,age,gender,study_hours_per_week,preferred_learning_style,online_courses_completed,participation_in_discussions,assignment_completion_rate,exam_score,attendance_rate,use_of_educational_tech,self_reported_stress_level,time_spent_on_social_media,sleep_hours_per_night,final_grade,cgpa,mastery_score
S00020,19,Female,28,Auditory,19,No,15,44.8,80,Yes,Medium,20,8,C,2,59.8
S00021,19,Male,30,Reading/Writing,0,Yes,26.7,67.9,90,Yes,Low,26,10,A,4,94.6
S00022,20,Male,48,Visual,16,Yes,24.3,53.2,82,Yes,Medium,29,9,B,3,77.5
S00023,18,Female,14,Reading/Writing,4,Yes,27,52.5,73,Yes,High,12,9,B,3,79.5
S00024,25,Male,41,Reading/Writing,6,Yes,20.4,65.1,100,No,Medium,23,7,A,4,85.5
S00025,25,Female,36,Visual,3,Yes,28.8,58.1,66,Yes,Low,8,7,B,3,86.9
S00026,22,Female,38,Reading/Writing,7,Yes,27.3,42.7,50,Yes,Low,19,10,C,2,70
S00027,19,Male,48,Kinesthetic,1,Yes,25.8,36.4,86,Yes,Low,30,9,D,1,62.2
S00028,19,Male,40,Auditory,16,Yes,30,44.1,74,No,Medium,29,7,C,2,74.1
S00029,24,Female,39,Kinesthetic,9,No,23.7,63,91,Yes,Medium,21,6,A,4,86.7
S00030,29,Male,39,Visual,5,No,22.8,28.7,79,No,Low,20,5,D,1,51.5
S00031,20,Male,23,Kinesthetic,3,Yes,17.7,39.9,81,Yes,Medium,9,5,C,2,57.6
S00032,22,Female,6,Auditory,18,No,25.5,56,76,No,Medium,16,7,B,3,81.5
S00033,23,Male,25,Auditory,12,Yes,16.5,44.1,85,Yes,High,14,4,C,2,60.6
S00034,25,Other,6,Visual,10,Yes,28.8,70,71,Yes,Medium,2,7,A,4,98.8
S00035,28,Female,32,Auditory,5,No,15.9,37.8,96,Yes,High,0,10,D,1,53.7
S00036,19,Male,41,Auditory,12,Yes,17.1,42,67,No,Medium,15,5,C,2,59.1
S00037,26,Female,26,Kinesthetic,3,Yes,15.9,33.6,76,No,Low,19,4,D,1,49.5
S00038,20,Female,11,Visual,3,Yes,17.4,51.1,62,No,Medium,22,7,B,3,68.5
S00039,21,Female,20,Kinesthetic,1,Yes,19.2,69.3,62,No,High,2,4,A,4,88.5
S00040,24,Male,12,Visual,8,Yes,29.4,45.5,58,Yes,Medium,0,5,C,2,74.9
S00041,27,Male,41,Reading/Writing,14,No,19.5,39.2,74,Yes,Low,26,9,C,2,58.7
S00042,28,Female,46,Kinesthetic,8,No,23.1,35.7,88,Yes,Low,23,5,D,1,58.8
S00043,25,Other,24,Auditory,19,No,27,65.1,54,Yes,High,17,9,A,4,92.1
S00044,22,Female,38,Auditory,5,Yes,28.8,37.8,92,No,High,16,5,D,1,66.6
S00045,20,Female,45,Visual,9,No,23.4,29.4,58,Yes,Low,24,8,D,1,52.8
S00046,28,Other,6,Visual,13,No,24.3,64.4,90,No,Medium,6,10,A,4,88.7
S00047,26,Female,23,Visual,10,No,28.2,29.4,65,Yes,Medium,11,6,D,1,57.6
S00048,25,Male,35,Auditory,16,Yes,15,58.1,88,Yes,High,8,4,B,3,73.1
S00049,19,Male,12,Kinesthetic,5,Yes,15,54.6,66,Yes,Low,0,8,B,3,69.6
S00050,25,Female,38,Kinesthetic,6,Yes,26.4,53.2,100,Yes,Low,12,9,B,3,79.6
S00051,19,Male,44,Auditory,17,Yes,29.4,30.8,66,Yes,High,4,4,D,1,60.2
S00052,21,Female,33,Visual,9,Yes,29.7,60.9,79,No,High,21,7,A,4,90.6
S00053,23,Female,26,Visual,3,Yes,18.6,44.8,71,Yes,Low,10,6,C,2,63.4
S00054,19,Male,47,Kinesthetic,2,No,15.6,30.8,84,Yes,Medium,11,10,D,1,46.4
S00055,25,Male,39,Reading/Writing,15,Yes,26.4,62.3,63,No,Medium,5,5,A,4,88.7
S00056,23,Male,21,Visual,1,Yes,26.7,41.3,74,Yes,Medium,18,8,C,2,68
S00057,21,Female,5,Visual,19,Yes,21.3,48.3,77,Yes,High,30,6,C,2,69.6
S00058,29,Male,19,Reading/Writing,5,No,15.9,59.5,71,No,Medium,29,9,A,4,75.4
S00059,29,Female,36,Reading/Writing,17,Yes,15.6,32.2,51,Yes,Low,27,7,D,1,47.8
S00060,20,Male,14,Kinesthetic,2,Yes,15.6,58.1,77,Yes,High,19,9,B,3,73.7
S00061,25,Female,41,Kinesthetic,6,Yes,17.7,48.3,53,No,Low,11,6,C,2,66
S00062,26,Female,32,Reading/Writing,7,Yes,21.3,65.8,89,No,Low,18,10,A,4,87.1
S00063,18,Male,21,Kinesthetic,12,Yes,30,38.5,75,No,Medium,28,4,C,2,68.5
S00064,20,Female,21,Kinesthetic,10,Yes,21.6,30.8,83,Yes,Low,12,6,D,1,52.4
S00065,24,Female,31,Kinesthetic,6,Yes,26.4,42,77,Yes,Low,11,6,C,2,68.4
S00066,24,Female,9,Kinesthetic,11,No,26.4,66.5,87,No,Medium,23,5,A,4,92.9
S00067,24,Male,12,Kinesthetic,14,No,17.1,39.9,73,Yes,Medium,4,7,C,2,57
S00068,27,Male,42,Auditory,11,No,24.9,46.2,60,No,Medium,21,7,C,2,71.1
S00069,19,Male,11,Visual,3,No,27.3,51.1,73,No,Medium,2,9,B,3,78.4
S00070,18,Female,35,Visual,2,No,28.8,37.8,96,Yes,High,5,9,D,1,66.6
S00071,22,Male,9,Reading/Writing,7,Yes,15.9,50.4,87,No,Medium,10,8,B,3,66.3
S00072,20,Female,46,Visual,13,No,16.5,31.5,52,No,Medium,7,7,D,1,48
S00073,23,Male,9,Visual,3,Yes,15.9,58.1,78,No,Low,2,8,B,3,74
S00074,19,Male,7,Auditory,12,No,23.7,53.2,72,Yes,Medium,10,5,B,3,76.9
S00075,25,Male,22,Visual,6,No,22.5,61.6,68,No,Medium,19,9,A,4,84.1
S00076,29,Female,34,Auditory,3,Yes,15.9,32.9,99,No,Medium,27,6,D,1,48.8
S00077,25,Female,31,Reading/Writing,11,Yes,22.8,56,69,Yes,Low,24,5,B,3,78.8
S00078,23,Male,38,Kinesthetic,0,Yes,18.6,65.1,96,Yes,Medium,5,6,A,4,83.7
S00079,26,Male,39,Reading/Writing,15,No,26.4,37.1,57,Yes,High,13,8,D,1,63.5
S00080,25,Female,23,Visual,5,Yes,18.6,53.2,61,Yes,High,0,6,B,3,71.8
S00081,24,Male,43,Reading/Writing,16,Yes,18.3,37.8,63,Yes,Low,23,8,D,1,56.1
S00082,20,Female,34,Kinesthetic,18,No,22.8,39.9,61,Yes,Medium,25,5,C,2,62.7
S00083,23,Male,12,Visual,8,Yes,22.5,49,52,Yes,Low,10,8,B,3,71.5
S00084,28,Female,28,Reading/Writing,0,Yes,29.4,69.3,99,Yes,Medium,1,4,A,4,98.7
S00085,18,Male,23,Reading/Writing,0,No,26.7,56.7,70,Yes,Medium,13,9,B,3,83.4
S00086,19,Female,35,Kinesthetic,9,Yes,27,42.7,92,No,Medium,2,8,C,2,69.7
S00087,20,Male,5,Reading/Writing,14,No,21.3,30.8,61,No,Medium,2,5,D,1,52.1
S00088,29,Female,11,Visual,4,Yes,22.2,41.3,80,No,Medium,18,4,C,2,63.5
S00089,24,Female,24,Visual,9,Yes,16.5,35.7,95,Yes,Medium,2,10,D,1,52.2
S00090,19,Female,15,Reading/Writing,15,Yes,18.3,65.8,54,No,High,20,10,A,4,84.1
S00091,25,Female,40,Auditory,15,Yes,17.4,61.6,87,No,Low,28,7,A,4,79
S00092,27,Female,12,Reading/Writing,19,Yes,17.4,64.4,86,No,Low,26,5,A,4,81.8
S00093,26,Male,8,Kinesthetic,17,No,18.9,30.1,72,Yes,Medium,26,4,D,1,49
S00094,29,Female,12,Reading/Writing,15,Yes,17.1,51.8,57,No,Medium,13,8,B,3,68.9
S00095,29,Female,22,Visual,6,No,30,42.7,87,Yes,Medium,19,5,C,2,72.7
S00096,19,Male,25,Visual,12,Yes,24,65.8,52,Yes,Low,15,10,A,4,89.8
S00097,26,Female,16,Auditory,9,No,24.3,52.5,75,No,Medium,19,9,B,3,76.8
S00098,28,Female,39,Reading/Writing,13,No,30,70,96,Yes,Medium,15,8,A,4,100
S00099,22,Female,34,Reading/Writing,17,No,25.8,30.8,95,Yes,Low,12,9,D,1,56.6
S00100,24,Male,30,Kinesthetic,7,No,24,65.1,80,Yes,Low,1,7,A,4,89.1
S00101,23,Female,11,Auditory,10,No,18.9,32.9,81,Yes,Low,0,4,D,1,51.8
S00102,26,Male,16,Reading/Writing,14,Yes,26.7,58.1,59,Yes,High,12,4,B,3,84.8
S00103,20,Male,47,Auditory,5,No,21.9,47.6,59,Yes,Low,29,10,C,2,69.5
S00104,18,Female,49,Visual,6,No,27.3,38.5,59,Yes,Medium,19,8,C,2,65.8
S00105,26,Male,16,Kinesthetic,19,No,16.2,38.5,62,Yes,High,15,5,C,2,54.7
S00106,19,Female,38,Kinesthetic,0,Yes,22.2,28,68,No,Medium,27,9,D,1,50.2
S00107,22,Male,41,Reading/Writing,18,Yes,16.8,37.8,81,Yes,Low,7,6,D,1,54.6
S00108,22,Female,46,Reading/Writing,17,No,16.2,49.7,78,No,High,26,5,B,3,65.9
S00109,21,Female,5,Reading/Writing,20,Yes,18.9,58.8,54,Yes,Medium,14,8,B,3,77.7
S00110,23,Female,23,Reading/Writing,7,Yes,18.3,68.6,50,Yes,Low,4,4,A,4,86.9
S00111,23,Male,10,Reading/Writing,17,No,15.6,42.7,51,Yes,High,17,4,C,2,58.3
S00112,25,Female,45,Kinesthetic,20,Yes,22.5,29.4,92,Yes,Medium,28,6,D,1,51.9
S00113,21,Female,48,Visual,6,Yes,19.8,54.6,86,Yes,Medium,14,7,B,3,74.4
S00114,27,Female,31,Reading/Writing,1,Yes,23.7,39.9,58,No,Low,20,7,C,2,63.6
S00115,24,Male,33,Auditory,18,Yes,17.7,43.4,69,No,Low,8,10,C,2,61.1
S00116,19,Female,23,Visual,6,No,16.8,41.3,81,Yes,Medium,27,10,C,2,58.1
S00117,28,Female,23,Visual,2,No,22.8,62.3,98,No,High,28,10,A,4,85.1
S00118,27,Male,13,Reading/Writing,5,No,23.7,44.1,80,Yes,Medium,5,8,C,2,67.8
S00119,28,Female,36,Kinesthetic,0,No,15.6,33.6,68,Yes,High,15,8,D,1,49.2
S00120,28,Male,16,Visual,10,Yes,20.1,39.9,55,Yes,High,30,10,C,2,60
S00121,21,Female,15,Kinesthetic,16,No,29.1,66.5,72,Yes,Medium,4,4,A,4,95.6
S00122,29,Other,26,Auditory,0,Yes,21.9,45.5,79,No,Medium,2,8,C,2,67.4
S00123,24,Female,10,Visual,2,No,18.3,28,75,No,Low,23,5,D,1,46.3
S00124,25,Female,30,Auditory,4,No,17.4,56.7,57,Yes,Medium,27,8,B,3,74.1
S00125,21,Female,48,Kinesthetic,8,No,26.7,67.2,61,Yes,High,11,6,A,4,93.9
S00126,25,Female,24,Visual,2,No,21.9,55.3,70,No,High,15,7,B,3,77.2
S00127,22,Female,39,Kinesthetic,6,Yes,19.2,51.8,52,Yes,Medium,20,4,B,3,71
S00128,28,Male,29,Auditory,19,No,29.7,58.1,92,No,Low,4,8,B,3,87.8
S00129,26,Other,40,Visual,2,Yes,27.3,41.3,61,Yes,Medium,23,7,C,2,68.6
S00130,29,Female,30,Reading/Writing,17,Yes,27.6,53.9,52,No,Medium,2,7,B,3,81.5
S00131,26,Female,14,Kinesthetic,16,Yes,26.7,51.1,67,Yes,Low,6,5,B,3,77.8
S00132,28,Male,32,Kinesthetic,2,No,19.8,55.3,61,No,Medium,20,8,B,3,75.1
S00133,21,Male,10,Kinesthetic,4,Yes,17.4,40.6,88,Yes,High,5,4,C,2,58
S00134,18,Male,15,Reading/Writing,0,Yes,29.1,44.8,57,Yes,Medium,7,9,C,2,73.9
S00135,20,Male,11,Kinesthetic,17,Yes,28.5,67.9,92,No,Medium,4,10,A,4,96.4
S00136,28,Other,27,Reading/Writing,14,Yes,24.9,31.5,74,Yes,High,9,9,D,1,56.4
S00137,27,Female,12,Visual,5,Yes,20.4,60.9,52,No,Medium,19,8,A,4,81.3
S00138,18,Male,14,Visual,2,Yes,25.2,56,84,No,Low,7,9,B,3,81.2
S00139,21,Female,42,Kinesthetic,5,No,15.9,58.8,93,Yes,Low,16,4,B,3,74.7
S00140,27,Female,40,Visual,19,No,18,58.1,57,Yes,Low,21,10,B,3,76.1
S00141,23,Female,21,Auditory,11,No,23.7,39.2,84,Yes,Medium,13,5,C,2,62.9
S00142,27,Male,17,Auditory,6,No,30,47.6,96,Yes,Low,13,9,C,2,77.6
S00143,23,Female,43,Auditory,14,Yes,20.1,58.1,80,Yes,Medium,15,7,B,3,78.2
S00144,23,Female,7,Auditory,11,No,21.9,66.5,59,Yes,Medium,8,8,A,4,88.4
S00145,21,Male,23,Visual,14,Yes,26.7,49,96,Yes,High,1,6,B,3,75.7
S00146,21,Male,12,Reading/Writing,4,Yes,22.8,30.8,93,Yes,Low,0,4,D,1,53.6
S00147,20,Male,27,Reading/Writing,14,Yes,18.9,31.5,73,Yes,Medium,27,6,D,1,50.4
S00148,21,Female,17,Visual,18,Yes,27.9,64.4,53,Yes,Low,8,7,A,4,92.3
S00149,25,Male,42,Reading/Writing,8,Yes,21,61.6,86,Yes,Low,19,8,A,4,82.6
S00150,18,Female,35,Visual,1,No,18,53.2,85,Yes,Medium,18,6,B,3,71.2
S00151,20,Female,37,Reading/Writing,13,Yes,15.6,38.5,80,No,Low,5,7,C,2,54.1
S00152,28,Male,16,Visual,2,Yes,15,67.2,68,Yes,Medium,11,5,A,4,82.2
S00153,28,Female,20,Visual,11,Yes,27.9,41.3,96,No,High,16,5,C,2,69.2
S00154,23,Male,30,Kinesthetic,18,No,20.4,56,77,Yes,Medium,23,5,B,3,76.4
S00155,21,Male,30,Auditory,10,No,20.4,37.1,69,Yes,Low,13,4,D,1,57.5
S00156,21,Male,46,Visual,19,No,27.3,64.4,91,No,Medium,15,8,A,4,91.7
S00157,26,Female,36,Kinesthetic,11,Yes,18,54.6,97,Yes,High,18,4,B,3,72.6
S00158,20,Female,45,Visual,14,Yes,18.6,51.8,58,Yes,High,19,4,B,3,70.4
S00159,28,Male,11,Auditory,8,No,26.7,33.6,52,No,Medium,2,5,D,1,60.3
S00160,23,Male,42,Reading/Writing,8,No,25.2,37.8,55,Yes,Low,13,9,D,1,63
S00161,29,Male,15,Auditory,9,No,26.7,49.7,51,Yes,Medium,11,10,B,3,76.4
S00162,27,Male,29,Kinesthetic,18,Yes,28.2,68.6,57,Yes,Low,29,9,A,4,96.8
S00163,18,Female,6,Kinesthetic,4,No,15,32.2,97,Yes,Medium,0,4,D,1,47.2
S00164,24,Female,6,Auditory,8,No,18.3,44.1,85,Yes,Medium,22,7,C,2,62.4
S00165,19,Male,47,Reading/Writing,11,Yes,16.8,50.4,52,Yes,Low,7,9,B,3,67.2
S00166,25,Male,20,Kinesthetic,10,Yes,18.3,41.3,98,Yes,Medium,21,4,C,2,59.6
S00167,22,Male,10,Reading/Writing,15,No,18.9,56,80,Yes,Low,19,4,B,3,74.9
S00168,20,Male,49,Visual,3,Yes,20.7,32.9,56,Yes,High,6,9,D,1,53.6
S00169,21,Male,24,Visual,0,Yes,21.3,54.6,74,Yes,Medium,12,6,B,3,75.9
S00170,28,Female,40,Reading/Writing,19,No,27,30.8,74,Yes,Low,18,9,D,1,57.8
S00171,29,Male,8,Visual,1,Yes,27.3,64.4,83,No,Low,3,10,A,4,91.7
S00172,22,Male,5,Auditory,3,Yes,25.8,42.7,96,Yes,Low,7,4,C,2,68.5
S00173,27,Male,35,Auditory,8,No,24.3,37.1,76,No,Low,22,4,D,1,61.4
S00174,27,Other,21,Visual,9,No,21.6,31.5,98,No,High,14,6,D,1,53.1
S00175,27,Female,43,Reading/Writing,11,Yes,19.8,56,99,Yes,High,2,6,B,3,75.8
S00176,18,Male,16,Visual,20,Yes,22.8,45.5,51,Yes,Medium,15,9,C,2,68.3
S00177,24,Female,49,Visual,7,No,19.2,37.1,63,Yes,High,9,6,D,1,56.3
S00178,19,Male,27,Reading/Writing,9,Yes,15.9,28.7,64,Yes,Low,1,5,D,1,44.6
S00179,28,Male,18,Visual,12,No,22.2,51.1,93,Yes,Medium,21,10,B,3,73.3
S00180,29,Female,31,Visual,0,Yes,24,65.8,61,Yes,Low,5,9,A,4,89.8
S00241,19,Female,48,Visual,2,Yes,21.3,39.2,78,Yes,Low,1,5,C,2,60.5
S00181,21,Male,20,Reading/Writing,19,Yes,17.7,37.1,74,Yes,Medium,22,4,D,1,54.8
S00182,28,Male,39,Kinesthetic,3,No,26.1,53.9,89,Yes,Low,8,4,B,3,80
S00183,27,Male,26,Reading/Writing,9,No,15.3,45.5,67,No,Medium,16,6,C,2,60.8
S00184,21,Male,39,Auditory,13,Yes,21,52.5,82,No,Low,4,10,B,3,73.5
S00185,23,Male,28,Auditory,12,Yes,19.5,32.2,55,Yes,Medium,6,4,D,1,51.7
S00186,18,Female,41,Reading/Writing,6,Yes,18.3,60.9,70,Yes,Low,29,8,A,4,79.2
S00187,18,Female,21,Auditory,8,Yes,26.1,33.6,55,No,Medium,30,5,D,1,59.7
S00188,26,Female,8,Visual,2,No,26.4,67.2,74,Yes,Low,6,6,A,4,93.6
S00189,21,Female,26,Auditory,3,Yes,18.6,56.7,90,No,Medium,0,10,B,3,75.3
S00190,22,Male,32,Auditory,8,No,26.7,33.6,60,Yes,Low,29,4,D,1,60.3
S00191,23,Female,13,Visual,16,Yes,28.5,60.2,51,Yes,Low,22,9,A,4,88.7
S00192,24,Female,34,Auditory,13,No,15,55.3,59,Yes,Medium,13,7,B,3,70.3
S00193,23,Male,17,Reading/Writing,18,Yes,25.5,37.8,70,Yes,Medium,12,4,D,1,63.3
S00194,28,Male,9,Auditory,5,No,22.8,63.7,91,Yes,High,20,8,A,4,86.5
S00195,27,Female,45,Kinesthetic,4,Yes,25.5,60.2,57,No,Medium,2,8,A,4,85.7
S00196,29,Female,26,Reading/Writing,4,No,20.1,54.6,82,No,Low,15,9,B,3,74.7
S00197,20,Male,39,Kinesthetic,20,No,28.8,58.8,73,No,High,14,6,B,3,87.6
S00198,24,Male,24,Auditory,20,Yes,15.6,35.7,96,Yes,Medium,25,10,D,1,51.3
S00199,19,Male,29,Kinesthetic,11,Yes,23.1,48.3,98,No,Medium,12,5,C,2,71.4
S00200,28,Male,14,Kinesthetic,2,No,21.3,53.9,65,No,Medium,26,10,B,3,75.2
S00201,27,Male,22,Kinesthetic,3,Yes,19.8,48.3,65,Yes,Medium,1,9,C,2,68.1
S00202,22,Male,38,Auditory,1,No,21.6,51.1,77,No,Medium,14,4,B,3,72.7
S00203,22,Male,5,Visual,14,Yes,21.3,49.7,66,No,Medium,4,9,B,3,71
S00204,26,Female,8,Visual,1,No,21,37.8,88,Yes,Low,21,5,D,1,58.8
S00205,22,Male,42,Reading/Writing,16,Yes,23.4,44.1,89,Yes,High,8,10,C,2,67.5
S00206,24,Female,40,Visual,13,No,27.9,61.6,53,Yes,Medium,15,5,A,4,89.5
S00207,26,Male,36,Kinesthetic,6,Yes,20.1,61.6,68,Yes,High,8,10,A,4,81.7
S00208,25,Female,38,Reading/Writing,1,Yes,24.9,35.7,74,Yes,Low,13,5,D,1,60.6
S00209,22,Female,30,Kinesthetic,15,Yes,28.8,28,75,No,Low,16,8,D,1,56.8
S00210,27,Male,32,Visual,15,Yes,21.3,28,71,No,Medium,4,4,D,1,49.3
S00211,18,Female,42,Kinesthetic,17,Yes,29.4,35,73,Yes,Low,20,5,D,1,64.4
S00212,22,Male,23,Reading/Writing,14,No,27.3,63,76,No,Low,27,10,A,4,90.3
S00213,21,Female,37,Reading/Writing,17,Yes,23.4,42.7,63,Yes,Medium,12,10,C,2,66.1
S00214,18,Male,12,Visual,4,No,16.2,47.6,63,Yes,High,23,10,C,2,63.8
S00215,29,Male,32,Auditory,4,Yes,19.2,59.5,55,Yes,Medium,12,6,A,4,78.7
S00216,25,Male,12,Reading/Writing,14,No,21.6,51.1,83,Yes,Medium,0,6,B,3,72.7
S00217,19,Male,11,Reading/Writing,1,Yes,15.9,63.7,100,Yes,High,3,6,A,4,79.6
S00218,19,Female,20,Kinesthetic,17,Yes,15.3,55.3,65,Yes,Medium,13,8,B,3,70.6
S00219,20,Female,41,Visual,10,No,19.5,63.7,54,Yes,Medium,22,10,A,4,83.2
S00220,26,Male,18,Reading/Writing,14,Yes,15.6,65.8,64,No,Low,22,8,A,4,81.4
S00221,24,Male,46,Auditory,1,Yes,21,53.2,93,No,Medium,7,5,B,3,74.2
S00222,29,Male,13,Visual,12,Yes,17.7,40.6,83,Yes,Medium,1,7,C,2,58.3
S00223,25,Male,41,Reading/Writing,13,Yes,16.5,36.4,51,Yes,Medium,3,6,D,1,52.9
S00224,27,Male,26,Auditory,16,Yes,15.9,54.6,98,Yes,Medium,3,5,B,3,70.5
S00225,26,Female,48,Kinesthetic,19,Yes,27.3,42,100,Yes,High,18,6,C,2,69.3
S00226,26,Female,34,Visual,4,Yes,18.3,53.9,51,No,Low,15,10,B,3,72.2
S00227,28,Male,31,Auditory,10,No,23.4,59.5,86,No,Medium,27,9,A,4,82.9
S00228,20,Female,20,Reading/Writing,8,No,16.2,30.8,94,Yes,High,8,8,D,1,47
S00229,19,Female,37,Kinesthetic,4,Yes,21.9,31.5,60,No,Low,16,7,D,1,53.4
S00230,27,Male,42,Kinesthetic,19,Yes,21.9,55.3,54,No,Low,21,6,B,3,77.2
S00231,28,Female,28,Visual,9,No,20.1,42,53,Yes,Low,7,9,C,2,62.1
S00232,27,Female,45,Visual,16,No,16.5,46.9,60,Yes,Low,13,9,C,2,63.4
S00233,21,Female,8,Reading/Writing,10,Yes,23.7,52.5,55,Yes,High,11,9,B,3,76.2
S00234,21,Male,23,Kinesthetic,4,Yes,27.3,58.8,83,Yes,Medium,19,6,B,3,86.1
S00235,28,Male,18,Reading/Writing,8,No,28.2,38.5,96,No,Medium,14,9,C,2,66.7
S00236,22,Male,8,Kinesthetic,3,No,18,29.4,68,No,Low,22,8,D,1,47.4
S00237,22,Male,49,Kinesthetic,10,No,16.5,39.2,56,Yes,Medium,25,10,C,2,55.7
S00238,21,Female,25,Auditory,19,Yes,23.7,53.9,62,No,Medium,20,4,B,3,77.6
S00239,29,Male,12,Visual,20,Yes,29.4,51.1,87,No,Medium,16,6,B,3,80.5
S00240,27,Female,42,Auditory,14,No,22.8,53.9,75,No,Medium,27,8,B,3,76.7
S00242,21,Male,46,Visual,19,Yes,15.3,58.8,79,Yes,Medium,22,6,B,3,74.1
S00243,21,Male,30,Auditory,2,Yes,28.2,32.2,51,No,Low,22,7,D,1,60.4
S00244,29,Female,12,Visual,3,No,15,31.5,93,Yes,Medium,30,6,D,1,46.5
S00245,22,Female,28,Auditory,3,Yes,19.8,60.9,68,No,Medium,13,5,A,4,80.7
S00246,28,Male,10,Visual,5,Yes,16.8,31.5,99,Yes,Low,12,7,D,1,48.3
S00247,20,Female,33,Visual,4,Yes,27,60.9,64,Yes,Medium,9,6,A,4,87.9
S00248,27,Male,41,Visual,15,Yes,19.8,69.3,84,No,Medium,14,10,A,4,89.1
S00249,25,Female,36,Kinesthetic,18,Yes,23.4,41.3,99,No,Medium,4,7,C,2,64.7
S00250,21,Male,48,Reading/Writing,17,Yes,29.1,58.8,78,Yes,Low,19,7,B,3,87.9
S00251,26,Female,5,Auditory,19,Yes,23.1,41.3,87,No,Low,9,5,C,2,64.4
S00252,27,Female,21,Auditory,0,No,21.9,62.3,67,Yes,High,29,6,A,4,84.2
S00253,29,Male,21,Auditory,4,No,25.8,28,89,Yes,Low,25,10,D,1,53.8
S00254,29,Female,24,Kinesthetic,5,No,15,36.4,78,Yes,Medium,30,6,D,1,51.4
S00255,22,Male,24,Kinesthetic,4,No,18.3,49.7,91,Yes,Medium,28,5,B,3,68
S00256,28,Male,27,Reading/Writing,0,No,26.7,32.2,96,Yes,Medium,0,5,D,1,58.9
S00257,21,Female,16,Auditory,19,Yes,17.4,48.3,84,Yes,Low,4,4,C,2,65.7
S00258,21,Other,24,Kinesthetic,16,Yes,15.3,44.8,98,Yes,Low,9,9,C,2,60.1
S00259,27,Female,10,Visual,14,Yes,16.5,59.5,85,Yes,Low,27,4,A,4,76
S00260,29,Female,29,Reading/Writing,2,Yes,24.6,53.2,68,Yes,Medium,14,7,B,3,77.8
S00261,27,Female,6,Kinesthetic,4,No,23.1,46.9,99,No,Medium,18,9,C,2,70
S00262,18,Female,35,Auditory,18,No,17.1,52.5,97,No,Medium,23,7,B,3,69.6
S00263,29,Female,25,Reading/Writing,11,Yes,17.1,41.3,55,Yes,Medium,9,10,C,2,58.4
S00264,20,Male,12,Kinesthetic,8,No,20.1,45.5,71,Yes,Medium,22,10,C,2,65.6
S00265,28,Male,26,Kinesthetic,5,Yes,20.1,52.5,84,Yes,Low,19,7,B,3,72.6
S00266,20,Female,32,Visual,4,Yes,21.6,38.5,86,Yes,Low,28,10,C,2,60.1
S00267,22,Female,13,Auditory,6,Yes,25.5,58.8,76,Yes,High,1,10,B,3,84.3
S00268,28,Female,6,Auditory,0,No,17.7,61.6,70,No,Medium,12,5,A,4,79.3
S00269,29,Female,29,Kinesthetic,3,No,20.7,57.4,79,Yes,Medium,18,4,B,3,78.1
S00270,19,Female,17,Reading/Writing,2,No,16.5,32.2,71,Yes,High,20,6,D,1,48.7
S00271,18,Male,33,Reading/Writing,17,No,23.7,30.8,95,Yes,Low,15,10,D,1,54.5
S00272,25,Other,39,Auditory,2,Yes,28.8,64.4,94,Yes,High,21,10,A,4,93.2
